episode=246, mum of sent packets=13994, num of received packets=8887, num of lost packets=5105, PDR=63.51, actual sim duration=1.24
episode=247, mum of sent packets=13748, num of received packets=8824, num of lost packets=4916, PDR=64.18, actual sim duration=1.19
episode=248, mum of sent packets=13831, num of received packets=8752, num of lost packets=5076, PDR=63.28, actual sim duration=1.21
episode=249, mum of sent packets=14055, num of received packets=8802, num of lost packets=5251, PDR=62.63, actual sim duration=1.25
episode=250, mum of sent packets=13910, num of received packets=8891, num of lost packets=5016, PDR=63.92, actual sim duration=1.22
episode=251, mum of sent packets=13850, num of received packets=8822, num of lost packets=5027, PDR=63.70, actual sim duration=1.21
episode=252, mum of sent packets=13784, num of received packets=8797, num of lost packets=4986, PDR=63.82, actual sim duration=1.21
episode=253, mum of sent packets=13757, num of received packets=8810, num of lost packets=4943, PDR=64.04, actual sim duration=1.22
episode=254, mum of sent packets=13815, num of received packets=8771, num of lost packets=5036, PDR=63.49, actual sim duration=1.21
episode=255, mum of sent packets=13972, num of received packets=8815, num of lost packets=5150, PDR=63.09, actual sim duration=1.22
episode=256, mum of sent packets=14232, num of received packets=8851, num of lost packets=5379, PDR=62.19, actual sim duration=1.26
episode=257, mum of sent packets=14018, num of received packets=8841, num of lost packets=5176, PDR=63.07, actual sim duration=1.24
episode=258, mum of sent packets=14007, num of received packets=8793, num of lost packets=5206, PDR=62.78, actual sim duration=1.24
